what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671833909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671835606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671839091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671893930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671895711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671910769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671917526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374671999021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374672027564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374672053751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1374672067631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1374672079371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374672100957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374672102936
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1374672523683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374672529198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374672538251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374672571725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374672771402
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374672772535
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374672777260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374672787990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374672868060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374672871384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374673104516
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374673109162
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1374673123704
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374673123730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1374673152037
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1374673152763
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1374673154913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374673162049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1374673191043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374673192425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374673193691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374673221861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374673425296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374673427420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374673504826
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1374673567793
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1374673570705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374673582968
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1374673632524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1374673641370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374673644865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1374673884350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1374673888787
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374673977856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374673981024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374673981867
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374673981876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374673983041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374674017453
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374674017465
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374674065019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1374674079265
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374674080650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374674082144
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1374674108165
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1374674108925
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1374674109605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374674134249
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1374674152972
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374674154279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374674162833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1374674175838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374674178019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374674197995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374674198171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374674198347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374674198515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374674198675
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374674198843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374674199003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374674199221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1374674256634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374674261855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1374674265022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1374674275394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1374674281066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374674317878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374674402202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374674402890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675940977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374675974884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374729602099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374729604964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374729615871
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374729619652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374730510589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374730516822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374732351522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374732355695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374734840971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374734841199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374734842794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374734844456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374737164378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374737195470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374737195579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374737196278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374737205079
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374737205169
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374737205929
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374737223577
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374737223813
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374737238537
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374737238796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1374737258585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1374737275995
