what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1374828046221
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1374828046221
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1374828046232
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1374828046241
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1374828046252
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1374828046261
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1374828046269
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1374828046276
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1374828046287
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1374828046301
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1374828046312
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1374828046340
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1374828046353
os,sysinfo,,,"win32",1374828046355
arch,sysinfo,,,"x86",1374828046355
ws,sysinfo,,,"win32",1374828046355
locale,sysinfo,,,"en_ZA",1374828046355
processors,sysinfo,,,"4",1374828046355
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1374828046355
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1374828046355
java.specification.name,sysinfo,,,"Java Platform API Specification",1374828046355
java.specification.vendor,sysinfo,,,"Oracle Corporation",1374828046355
java.specification.version,sysinfo,,,"1.7",1374828046355
java.vendor,sysinfo,,,"Oracle Corporation",1374828046355
java.version,sysinfo,,,"1.7.0_21",1374828046355
java.vm.info,sysinfo,,,"mixed mode",1374828046355
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1374828046355
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1374828046355
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1374828046355
java.vm.specification.version,sysinfo,,,"1.7",1374828046355
java.vm.vendor,sysinfo,,,"Oracle Corporation",1374828046355
java.vm.version,sysinfo,,,"23.21-b01",1374828046355
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1374828048636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374828061517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374828063391
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374828063437
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374828063487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374828071763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374828072001
