what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271553351
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1375271555424
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1375271561691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271569885
error,log,,,"Internal Error",1375271579265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271579319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271583853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271586600
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1375271586608
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271586692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271587918
error,log,,,"Internal Error",1375271595193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271595242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271597966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271714205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271716131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271719189
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271719280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271721570
error,log,,,"Internal Error",1375271723139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271723174
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.ExpressionView",1375271726062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271734179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271743485
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1375271743490
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271743602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271744836
error,log,,,"Internal Error",1375271776319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271776350
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271778426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271779260
error,log,,,"Internal Error",1375271792199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271792252
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.ExpressionView",1375271794345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271808878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271835553
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1375271835558
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271835661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271839177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271862745
error,log,,,"Internal Error",1375271863065
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271864718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271867479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271869666
error,log,,,"Internal Error",1375271870953
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271876094
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1375271877510
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.MemoryView",1375271877583
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.RegisterView",1375271877586
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.ModuleView",1375271877589
error,log,,,"Internal Error",1375271883130
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.MemoryView",1375271883440
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.RegisterView",1375271883460
opened,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.ModuleView",1375271883490
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271888262
error,log,,,"Internal Error",1375271888375
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271889814
error,log,,,"Internal Error",1375271889980
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271891382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271892553
error,log,,,"Internal Error",1375271898968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271899024
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.ExpressionView",1375271902558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271906666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271910643
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1375271910648
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271910799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271911697
error,log,,,"Internal Error",1375271921519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271921558
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.ExpressionView",1375271925615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271958427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271980694
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1375271980699
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271980793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271982084
error,log,,,"Internal Error",1375271988126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271988187
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1375271991018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375271992085
error,log,,,"Internal Error",1375272003232
