what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1374153981483
error,log,,,"Internal Error",1374153984737
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374153986494
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374153991896
activated,view,org.eclipse.cdt.embsysregview,0.2.3,"org.eclipse.cdt.embsysregview.views.EmbSysRegView",1374153995131
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1374154036777
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1374154036853
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.MemoryView",1374154036913
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.RegisterView",1374154036917
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.ModuleView",1374154036919
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1374154038633
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374154038641
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1374154055863
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1374154057367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374154431797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374154675149
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1374154675157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374154679414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374154685840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374154685841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374154688113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374154689974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374154718848
started,bundle,org.eclipse.cdt.debug.gdbjtag.ui,7.0.0.201202111925,"org.eclipse.cdt.debug.gdbjtag.ui",1374154723083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374154723301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374154730448
error,log,,,"Failed command",1374154731823
error,log,,,"Failed command",1374154731831
error,log,,,"Failed command",1374154731841
error,log,,,"Failed command",1374154731851
error,log,,,"Failed command",1374154731862
error,log,,,"Failed command",1374154731864
error,log,,,"Failed command",1374154731875
error,log,,,"Internal error logged from CDI Debug: ",1374154731898
error,log,,,"Internal error logged from CDI Debug: ",1374154731899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374154770697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374154854371
