what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1374053637874
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1374053637874
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1374053637874
java.vm.specification.version,sysinfo,,,"1.7",1374053637874
java.vm.vendor,sysinfo,,,"Oracle Corporation",1374053637874
java.vm.version,sysinfo,,,"23.21-b01",1374053637874
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1374053638980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053640164
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1374053642249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053719531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053722003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053724609
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374053728352
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374053728395
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374053739029
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374053739065
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374053741661
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374053741697
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374053743693
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374053743730
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1374053744685
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1374053744746
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1374053757094
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374053761520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053846456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053849969
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1374053850094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374053859540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374053859745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1374053859921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053877633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053886161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053887029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1374053887043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053918651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1374053920725
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1374053922287
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1374053922639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053924631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053925878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374053941955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374054003358
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1374054003371
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374054006976
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374054014249
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1374054020691
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374054032869
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374054032917
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1374054043308
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1374054043583
